Country,Under 25,25-64 years,65+
China,0.4126778,0.8257142,0.18750147
India,0.6161549,0.69565997,0.09574903
United States,0.10554354,0.17524661,0.05620748
Indonesia,0.113864904,0.14132883,0.018559456
Pakistan,0.13226544,0.08936824,0.009768444
Brazil,0.07692422,0.11686726,0.020534732
Nigeria,0.134108296,0.07293021,0.006362815
Bangladesh,0.07776837,0.081719304,0.009868579
Russia,0.039993556,0.08248272,0.022626482
Mexico,0.053088876,0.063310524,0.010305739
Japan,0.026309768,0.06118431,0.037118444
Ethiopia,0.07338259,0.04312545,0.003774984
Philippines,0.0559441,0.051870776,0.00606546
Egypt,0.054736816,0.04930859,0.005216774
Vietnam,0.035811056,0.053125464,0.008531506
Democratic Republic of Congo,0.06283942,0.030213936,0.002840766
Iran,0.032178128,0.049260896,0.006484409
Turkey,0.032988596,0.044683692,0.007103116
Germany,0.020013568,0.044903092,0.018491898
Thailand,0.020188312,0.041022344,0.010390451
United Kingdom,0.019665268,0.034888824,0.012726947
France,0.018800532,0.03197071,0.013760207
Tanzania,0.040384564,0.021221284,0.001982485
South Africa,0.026381832,0.029463442,0.003546982
Italy,0.013294724,0.03191728,0.014028334
Myanmar,0.022463922,0.027768328,0.003565839
Kenya,0.031368366,0.020129892,0.00150736
South Korea,0.011777614,0.03142241,0.008630114
Colombia,0.019662468,0.027361996,0.004492094
Spain,0.011585262,0.0264504,0.009451269
Uganda,0.030847972,0.014236756,0.000769051
Sudan,0.027511774,0.016582108,0.001563322
Argentina,0.017540742,0.022383468,0.00535258
Algeria,0.019575584,0.0218713,0.002731079
Iraq,0.025168516,0.016880658,0.001484419
Ukraine,0.010717057,0.025240526,0.007573839
Afghanistan,0.026140168,0.012995277,0.000964016
Poland,0.009640962,0.02145102,0.00721574
Canada,0.010502208,0.020586004,0.007066799
Morocco,0.015856775,0.0184669,0.002752911
Saudi Arabia,0.014606861,0.020408822,0.000934712
Angola,0.022107388,0.011501196,0.000895191
Uzbekistan,0.015480457,0.016903116,0.001697876
Peru,0.014548433,0.016361687,0.002805344
Malaysia,0.013242378,0.017897224,0.00243427
Yemen,0.019884096,0.012210659,0.00088689
Ghana,0.01844458,0.013246926,0.00114153
Mozambique,0.020509068,0.010737955,0.00083005
Nepal,0.01522589,0.012992366,0.001816733
Madagascar,0.017242824,0.010718597,0.000954231
Venezuela,0.012616445,0.013232072,0.002351346
Cote d'Ivoire,0.017174886,0.009643035,0.000660329
Cameroon,0.016875306,0.009588516,0.00073481
North Korea,0.008526265,0.014495936,0.002949709
Australia,0.007946956,0.013679232,0.004294906
Niger,0.017250944,0.007390821,0.000610957
Taiwan,0.005663846,0.014388027,0.003808032
Burkina Faso,0.014138856,0.007398879,0.000562955
Mali,0.014697254,0.006673811,0.000533925
Sri Lanka,0.008383178,0.010961074,0.002429186
Syria,0.011927846,0.008410663,0.000985858
Malawi,0.012809531,0.006543526,0.000536684
Chile,0.006250161,0.010771065,0.002471958
Zambia,0.012400159,0.006734346,0.000338628
Romania,0.005151772,0.010519121,0.003657665
Kazakhstan,0.00810062,0.009569781,0.001526067
Ecuador,0.007795898,0.008641722,0.001360115
Guatemala,0.009475412,0.007270176,0.000862895
Netherlands,0.004853953,0.009155907,0.003491836
Chad,0.011548211,0.005284441,0.000347091
Somalia,0.011452088,0.005170372,0.000443129
Senegal,0.010377885,0.005965954,0.000532887
Cambodia,0.007615851,0.008055439,0.000917741
Zimbabwe,0.009882718,0.005572892,0.000537915
Guinea,0.00844379,0.00463402,0.000454099
Rwanda,0.007969718,0.005068963,0.00042321
Benin,0.0080507,0.004546362,0.000399839
Burundi,0.008122033,0.004118387,0.000310795
Tunisia,0.004698424,0.006485677,0.001078848
Bolivia,0.006053327,0.005433026,0.000593121
Belgium,0.003259796,0.006097025,0.002254595
Haiti,0.005928671,0.00500493,0.000513974
Cuba,0.003119077,0.006373383,0.001763913
Jordan,0.00569444,0.005038726,0.000415122
Dominican Republic,0.004973234,0.005347698,0.000796941
South Sudan,0.006982076,0.003460212,0.00030599
Czechia,0.002647508,0.005713523,0.002149717
Sweden,0.003030262,0.005332498,0.002104335
Greece,0.002574847,0.005519467,0.002351054
Azerbaijan,0.003836335,0.005783975,0.000692682
Portugal,0.00247397,0.00549462,0.002321519
Honduras,0.005251968,0.004594901,0.000431477
Papua New Guinea,0.005380258,0.004260339,0.000308841
Tajikistan,0.005299625,0.004126431,0.000324022
Hungary,0.002420313,0.005306743,0.001982728
Belarus,0.002544923,0.005421322,0.001611927
United Arab Emirates,0.00233833,0.006862135,0.000164684
Austria,0.002210214,0.004977314,0.001734558
Israel,0.003849444,0.003988821,0.001061792
Switzerland,0.002202264,0.004840793,0.001648352
Togo,0.00515243,0.003224763,0.000267636
Sierra Leone,0.005046619,0.003109581,0.000264442
Hong Kong,0.001524421,0.004500977,0.001469182
Laos,0.003743066,0.003358466,0.000323523
Serbia,0.001787371,0.003997499,0.001511901
Bulgaria,0.001581518,0.003760458,0.001543888
Nicaragua,0.003355792,0.003141372,0.000353382
Libya,0.00313509,0.003275391,0.000324799
Paraguay,0.003153255,0.003133001,0.000417546
Kyrgyzstan,0.00329247,0.002949011,0.000286261
Turkmenistan,0.002974736,0.003055458,0.000311656
El Salvador,0.002869836,0.002929684,0.000514645
Singapore,0.001353847,0.003747982,0.000839234
Denmark,0.001663784,0.003003875,0.001186587
Congo,0.003494407,0.002185133,0.000156274
Lebanon,0.002478283,0.002576218,0.000538125
Finland,0.001461506,0.002807206,0.00126727
Central African Republic,0.003829898,0.001490879,0.000136388
Slovakia,0.001410873,0.003098206,0.000938542
Norway,0.001570087,0.002855079,0.000977855
Liberia,0.003181652,0.001838258,0.000173512
Costa Rica,0.00182626,0.002784971,0.000542728
Palestine,0.00302173,0.001932795,0.000178868
New Zealand,0.001629867,0.002682785,0.000817078
Ireland,0.001633965,0.002613106,0.000739454
Mauritania,0.002857818,0.001606737,0.000150426
Oman,0.00176923,0.002625074,0.00012617
Panama,0.001853126,0.002125438,0.0003727
Kuwait,0.001311266,0.002749386,0.000189459
