Country/Territory,Continent,1970,1980,1990,2000,2010,2015,2020,2022
China,Asia,822534450,982372466,1153704252,1264099069,1348191368,1393715448,1424929781,1425887337
India,Asia,557501301,696828385,870452165,1059633675,1240613620,1322866505,1396387127,1417173173
United States,North America,200328340,223140018,248083732,282398554,311182845,324607776,335942003,338289857
Indonesia,Asia,115228394,148177096,182159874,214072421,244016173,259091970,271857970,275501339
Pakistan,Asia,59290872,80624057,115414069,154369924,194454498,210969298,227196741,235824862
Nigeria,Africa,55569264,72951439,95214257,122851984,160952853,183995785,208327405,218541212
Brazil,South America,96369875,122288383,150706446,175873720,196353492,205188205,213196304,215313498
Bangladesh,Asia,67541860,83929765,107147651,129193327,148391139,157830000,167420951,171186372
Russia,Europe,130093010,138257420,148005704,146844839,143242599,144668389,145617329,144713314
Mexico,North America,50289306,67705186,81720428,97873442,112532401,120149897,125998302,127504125
Japan,Asia,105416839,117624196,123686321,126803861,128105431,127250933,125244761,123951692
Ethiopia,Africa,28308246,34945469,47878073,67031867,89237791,102471895,117190911,123379924
Philippines,Asia,37435586,48419546,61558898,77958223,94636700,103031365,112190977,115559009
Egypt,Africa,34781986,43748556,57214630,71371371,87252413,97723799,107465134,110990103
DR Congo,Africa,20151733,26708686,35987541,48616317,66391257,78656904,92853164,99010212
Vietnam,Asia,41928849,52968270,66912613,79001142,87411012,92191398,96648685,98186856
Iran,Asia,28449705,38520664,55793629,65544383,75373855,81790841,87290193,88550570
Turkey,Asia,35540990,44089069,54324142,64113547,73195345,79646178,84135428,85341241
Germany,Europe,78294583,77786703,79370196,81551677,81325090,82073226,83328988,83369843
Thailand,Asia,35791728,45737753,55228410,63066603,68270489,70294397,71475664,71697030
United Kingdom,Europe,55650166,56326328,57210442,58850043,62760039,65224364,67059474,67508936
Tanzania,Africa,13618192,19297659,26206012,34463704,45110527,52542823,61704518,65497748
France,Europe,50523586,53713830,56412897,58665453,62444567,63809769,64480053,64626628
South Africa,Africa,22368306,29463549,39877570,46813266,51784921,55876504,58801927,59893885
Italy,Europe,53324036,56329482,56756561,56966397,59822450,60232906,59500579,59037474
Myanmar,Asia,27284112,33465781,40099553,45538332,49390988,51483949,53423198,54179306
Kenya,Africa,11473087,16187124,23162269,30851606,41517895,46851488,51985780,54027487
Colombia,South America,20905254,26176195,32601393,39215135,44816108,47119728,50930662,51874024
South Korea,Asia,32601143,38170501,44120039,46788591,48813042,50994401,51844690,51815810
Spain,Europe,33792617,37491666,38889889,40741651,46572772,46431342,47363807,47558630
Uganda,Africa,10317212,13284026,17586630,24020697,32341728,37477356,44404611,47249585
Sudan,Africa,11305206,16673586,21090886,26298773,33739933,38171178,44440486,46874204
Argentina,South America,23842803,28024803,32637657,37070774,41100123,43257065,45036032,45510318
Algeria,Africa,13795915,18739378,25518074,30774621,35856344,39543154,43451666,44903225
Iraq,Asia,9811347,13653369,17658381,24628858,31264875,37757813,42556984,44496122
Afghanistan,Asia,10752971,12486631,10694796,19542982,28189672,33753499,38972230,41128771
Poland,Europe,32482943,35521429,38064255,38504431,38597353,38553146,38428366,39857145
Ukraine,Europe,47279086,49973920,51589817,48879755,45683020,44982564,43909666,39701739
Canada,North America,21434577,24511510,27657204,30683313,33963412,35732126,37888705,38454327
Morocco,Africa,15274351,19678444,24570814,28554415,32464865,34680458,36688772,37457971
Saudi Arabia,Asia,6106191,10171710,16004763,21547390,29411929,32749848,35997107,36408820
Angola,Africa,6029700,8330047,11828638,16394062,23364185,28127721,33428485,35588987
Uzbekistan,Asia,12011361,15947129,20579100,24925554,28614227,30949417,33526656,34627652
